Datetime,Open,High,Low,Close,Volume,Log_Returns,AO_15m,MFI_10,MFI_14,MFI_20,Vol_Ratio,BB_PctB,Donchian_Pos_20,ADX_4H,AO_4H,ADX_1D,AO_1D,Target
2025-03-26 00:15:00,7.26386,7.26468,7.26342,7.26388,1,2.7533532401132504e-06,0.0009245882352946211,100.0,100.0,100.0,19.9999960000008,0.28119766985765343,0.3124990234406905,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.5925100404345891
2025-03-26 00:30:00,7.26383,7.26468,7.26343,7.26397,3,1.238999576675734e-05,0.0004979705882357521,100.0,100.0,100.0,14.999999250000037,0.316764465217953,0.3406239355501112,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.4955184633881886
2025-03-26 00:45:00,7.26398,7.26423,7.26346,7.26397,0,0.0,9.329411764635864e-05,100.0,100.0,100.0,0.0,0.31422161518364367,0.3406239355501112,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.5932160922526137
2025-03-26 01:00:00,7.26406,7.26416,7.26398,7.26409,0,1.6519755563096713e-05,-0.00012338235293984923,100.0,100.0,100.0,0.0,0.3449547925010613,0.32312815262551514,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.9667813943435797
2025-03-26 01:15:00,7.26409,7.26482,7.26406,7.26466,0,7.846511231761021e-05,-6.285294117613915e-05,100.0,100.0,100.0,0.0,0.5189195985182464,0.517005044200643,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.15248623522763127
2025-03-26 01:30:00,7.26464,7.26472,7.26418,7.26432,0,-4.680301026806189e-05,-6.0647058824692124e-05,100.0,100.0,100.0,0.0,0.381323896950684,0.40135917905036,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.43576410751912936
2025-03-26 01:45:00,7.26432,7.26438,7.26422,7.26428,0,-5.5063805183175046e-06,-5.2088235293012985e-05,100.0,100.0,100.0,0.0,0.34875865707142206,0.3706280747272547,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,1.0
2025-03-26 02:00:00,7.26428,7.26534,7.26426,7.26525,0,0.0001335211808558318,6.891176470613658e-05,100.0,100.0,100.0,0.0,0.6912532946977309,0.7077439868170613,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.7018890301053995
2025-03-26 02:15:00,7.26525,7.26558,7.26518,7.26552,0,3.7162517888807543e-05,0.0002485588235305869,100.0,100.0,100.0,0.0,0.7708317668547262,0.8028140745985975,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.638751111176272
2025-03-26 02:30:00,7.26551,7.26579,7.26514,7.26572,0,2.7526900665427747e-05,0.0004000294117645353,100.0,100.0,100.0,0.0,0.8156398866095137,0.8732363618439021,30.11504296307831,0.016164911764706247,13.643480529887595,-0.005324029411763576,0.15963558564994856
