Datetime,Open,High,Low,Close,Volume,Log_Returns,RSI_14,MACD_Line,ATR_14,Hour_Sin,Target
2024-01-02 06:15:00,7.13308,7.13318,7.1304,7.13057,0,-0.000351943580487198,59.248010066264705,0.003976912844156466,0.004487839578652458,1.0,1
2024-01-02 06:30:00,7.13057,7.13128,7.1295,7.13128,0,9.956632562913851e-05,60.19804400991396,0.003844404834352666,0.004294422465891576,1.0,0
2024-01-02 06:45:00,7.13128,7.13143,7.13001,7.13027,0,-0.0001416395835920029,58.12226765515509,0.003616207335681132,0.004089106575470716,1.0,0
2024-01-02 07:00:00,7.13027,7.13027,7.12852,7.12857,0,-0.00023844857057872426,54.70308552689429,0.0032605972460029164,0.00392202753436569,0.9659258262890683,1
2024-01-02 07:15:00,7.12857,7.13039,7.12836,7.12878,0,2.9458489833717124e-05,55.054822354913796,0.0029615796857580534,0.003786882710482457,0.9659258262890683,0
2024-01-02 07:30:00,7.12878,7.12939,7.12647,7.12665,0,-0.0002988334993544523,50.750228174408704,0.002523641942708821,0.0037249625168765377,0.9659258262890683,1
2024-01-02 07:45:00,7.12662,7.1305,7.12626,7.12945,0,0.0003928143091033831,55.658314138797735,0.0023751306973833763,0.0037617509085281675,0.9659258262890683,1
2024-01-02 08:00:00,7.12945,7.13112,7.12916,7.13049,0,0.00014586316658315667,57.358138633493326,0.00231467167956545,0.0036330544150618986,0.8660254037844387,0
2024-01-02 08:15:00,7.13049,7.13119,7.12903,7.13007,0,-5.890371768307226e-05,56.41753506024135,0.0022074212048703856,0.003527836242557473,0.8660254037844387,1
2024-01-02 08:30:00,7.13007,7.13091,7.12865,7.1309,0,0.00011640161937612271,57.88726816055004,0.002164448084184478,0.003437276510946204,0.8660254037844387,1
2024-01-02 08:45:00,7.1309,7.13426,7.13022,7.13256,0,0.00023276259862543724,60.738963498595396,0.0022385352621743237,0.0034803281887358117,0.8660254037844387,1
2024-01-02 09:00:00,7.1327,7.1342,7.13225,7.13412,0,0.00021869138527213543,63.257018969241486,0.0023955148430827577,0.003371019032397532,0.7071067811865476,0
2024-01-02 09:15:00,7.13412,7.13481,7.13257,7.13257,0,-0.00021728936510131505,59.194663950779024,0.002367558505127043,0.0032902319586548207,0.7071067811865476,1
2024-01-02 09:30:00,7.13253,7.13745,7.13201,7.13619,0,0.000507402195799193,64.86906938976028,0.002607449596412792,0.003443786818750913,0.7071067811865476,1
2024-01-02 09:45:00,7.13619,7.13727,7.13561,7.13692,0,0.00010229025077745391,65.89891143767602,0.0028239175500264224,0.0033163734745544344,0.7071067811865476,0
2024-01-02 10:00:00,7.13692,7.1373,7.13486,7.13517,0,-0.0002452338807800006,61.262563671092046,0.002821732413398337,0.0032537753692291173,0.49999999999999994,1
2024-01-02 10:15:00,7.13522,7.13767,7.13514,7.1372,0,0.00028446572134686307,64.39214504613275,0.002949801238964156,0.003202077128569905,0.49999999999999994,1
2024-01-02 10:30:00,7.1372,7.13944,7.13691,7.13911,0,0.00026757614697294613,67.08648075555216,0.003168888766242439,0.003154071619386287,0.49999999999999994,0
2024-01-02 10:45:00,7.13911,7.13937,7.13883,7.13906,0,-7.00369865326613e-06,66.94367793532072,0.0033004372418456995,0.002967352218001615,0.49999999999999994,0
2024-01-02 11:00:00,7.13906,7.13906,7.13804,7.13822,0,-0.00011766947219206408,64.46115195739563,0.003298881919404195,0.0028282556310014694,0.258819045102521,0
2024-01-02 11:15:00,7.13822,7.13866,7.13786,7.13802,0,-2.801858192525253e-05,63.85398568869498,0.0032441148500348405,0.002683380228787072,0.258819045102521,0
2024-01-02 11:30:00,7.13802,7.13826,7.13709,7.13762,0,-5.60395190834868e-05,62.584318832883504,0.0031323273757424275,0.0025752816410165753,0.258819045102521,1
2024-01-02 11:45:00,7.13765,7.1398,7.13762,7.1389,0,0.00017931540787662293,64.98373848129305,0.003111156820375882,0.0025470472380868248,0.258819045102521,1
2024-01-02 12:00:00,7.13893,7.14408,7.13858,7.14328,0,0.0006133517624500105,71.67703536921155,0.003408517133745903,0.00275797243536631,1.2246467991473532e-16,0
2024-01-02 12:15:00,7.1429,7.14327,7.14118,7.14257,0,-9.93990557908155e-05,69.36249922901933,0.0035460100614992385,0.0027109744042686837,1.2246467991473532e-16,0
2024-01-02 12:30:00,7.14257,7.14257,7.13968,7.13968,0,-0.0004046981448222438,60.76171360368907,0.003382780759181081,0.002723761946820909,1.2246467991473532e-16,1
2024-01-02 12:45:00,7.13973,7.1409,7.1384,7.14067,0,0.00013865206407213452,62.478119588499595,0.0032953187045539067,0.002707778950619443,1.2246467991473532e-16,1
2024-01-02 13:00:00,7.14076,7.14337,7.13812,7.14328,0,0.0003654451365410098,66.62329950372401,0.0033974459414753966,0.0028893661684323544,-0.2588190451025208,1
2024-01-02 13:15:00,7.14328,7.14424,7.14319,7.1442,0,0.00012878408246540127,67.96666131793229,0.0035121331391598787,0.002757982870687202,-0.2588190451025208,1
2024-01-02 13:30:00,7.1442,7.14659,7.14383,7.14632,0,0.00029670019223275695,70.87562883373778,0.0037310802810592847,0.002758126951352361,-0.2588190451025208,1
2024-01-02 13:45:00,7.14632,7.14662,7.14532,7.14655,0,3.218387909777153e-05,71.18139280617252,0.0038784482095453043,0.002653975026255801,-0.2588190451025208,1
2024-01-02 14:00:00,7.14659,7.14755,7.14613,7.14715,0,8.395307028297843e-05,72.0070255352976,0.0039975718206424204,0.002565833952951782,-0.4999999999999997,0
2024-01-02 14:15:00,7.14715,7.14762,7.1462,7.147,0,-2.0987606818907942e-05,71.45586704927415,0.004033380099186523,0.00248398867059805,-0.4999999999999997,1
2024-01-02 14:30:00,7.14701,7.14769,7.14686,7.14754,0,7.555332319285334e-05,72.27849896246003,0.0040585474957755,0.002365846622698165,-0.4999999999999997,1
2024-01-02 14:45:00,7.14754,7.14885,7.14711,7.14866,0,0.0001566849935354128,73.95506593496415,0.004121359017369208,0.002321143292505492,-0.4999999999999997,1
2024-01-02 15:00:00,7.14871,7.15008,7.14839,7.14939,0,0.00010211182652674273,75.01568898813042,0.004181836887364732,0.0022760616287550973,-0.7071067811865471,0
2024-01-02 15:15:00,7.14939,7.14945,7.1472,7.14796,0,-0.00020003707047365038,69.0810464070496,0.004067489499044008,0.002274200083844025,-0.7071067811865471,0
2024-01-02 15:30:00,7.14796,7.14807,7.14314,7.14322,0,-0.0006633462280667148,53.86843390133094,0.003553428274587489,0.002463900077855158,-0.7071067811865471,1
2024-01-02 15:45:00,7.14323,7.14808,7.14316,7.14808,0,0.0006801340937976273,62.89161310268662,0.0034978711525814887,0.002639335786579808,-0.7071067811865471,1
2024-01-02 16:00:00,7.14808,7.14934,7.14624,7.14862,0,7.55419083084609e-05,63.74026232165671,0.003457558636450919,0.0026722403732526703,-0.8660254037844385,0
2024-01-02 16:15:00,7.14862,7.14866,7.14362,7.14518,0,-0.0004813275778888555,55.09604063176665,0.0031121564242528876,0.002841366060877427,-0.8660254037844385,1
2024-01-02 16:30:00,7.14522,7.14823,7.14347,7.14561,0,6.01786185549305e-05,55.90111200554228,0.0028403779796608575,0.002978411342243332,-0.8660254037844385,0
2024-01-02 16:45:00,7.14561,7.14813,7.14242,7.14302,0,-0.00036252601241201706,50.07730843364075,0.002388467483418033,0.0031735248177973555,-0.8660254037844385,1
2024-01-02 17:00:00,7.1429,7.14822,7.14267,7.14666,0,0.0005094585853187694,56.876896230050306,0.0022975579210235964,0.0033432730450975723,-0.9659258262890683,1
2024-01-02 17:15:00,7.14661,7.15021,7.14656,7.14942,0,0.0003861198362474378,61.1929567884105,0.002420320424320721,0.0033651821133049153,-0.9659258262890683,1
2024-01-02 17:30:00,7.1496,7.15412,7.14958,7.15365,0,0.0005914814264800009,66.69477089264322,0.002826355771071931,0.0034605262480688287,-0.9659258262890683,0
2024-01-02 17:45:00,7.15367,7.15391,7.15141,7.15194,0,-0.00023906738668512108,62.8175816641461,0.0029758551935010757,0.0033919172303495913,-0.9659258262890683,0
2024-01-02 18:00:00,7.15196,7.15196,7.14282,7.14496,0,-0.0009764355286217634,50.032080156137546,0.002502262374109776,0.0038024945710388694,-1.0,1
2024-01-02 18:15:00,7.14503,7.14802,7.14503,7.1475,0,0.00035543216867349036,53.72323704405246,0.0023053191409783125,0.0037494592445360656,-1.0,1
2024-01-02 18:30:00,7.14748,7.14966,7.14747,7.14863,0,0.00015808474074495307,55.305063973224755,0.002214889894040617,0.003638069298497753,-1.0,0
2024-01-02 18:45:00,7.14863,7.14869,7.1455,7.14653,0,-0.00029380573776104275,51.76388107985424,0.0019512784909530012,0.003606064348605058,-1.0,1
2024-01-02 19:00:00,7.14653,7.14851,7.14587,7.14848,0,0.00027282247610815636,54.6665796929003,0.0018780641040212487,0.0035370597522760916,-0.9659258262890684,1
2024-01-02 19:15:00,7.14848,7.15028,7.14823,7.14989,0,0.0001972252787653703,56.69579818326186,0.0019117785974041013,0.0034308411985421246,-0.9659258262890684,0
2024-01-02 19:30:00,7.14989,7.15061,7.14774,7.14827,0,-0.00022660258479858115,53.72049702379856,0.001787175666609464,0.0033907811129320156,-0.9659258262890684,1
2024-01-02 19:45:00,7.14827,7.15108,7.14822,7.15064,0,0.0003314938022132527,57.25466207036747,0.0018582454425777328,0.0033528681762940203,-0.9659258262890684,0
2024-01-02 20:00:00,7.15064,7.15149,7.14862,7.14873,0,-0.0002671446380308617,53.695823005895754,0.00174038563238188,0.003318377592272998,-0.8660254037844386,0
2024-01-02 20:15:00,7.14873,7.14893,7.14618,7.14725,0,-0.00020705121373801956,51.04799823086756,0.0015101491926854393,0.003277779192824913,-0.8660254037844386,1
2024-01-02 20:30:00,7.1473,7.15033,7.1473,7.14966,0,0.00033713578987730225,54.94418360782776,0.0015048055525497261,0.003263652107623179,-0.8660254037844386,0
2024-01-02 20:45:00,7.14975,7.15069,7.1488,7.14881,0,-0.00011889383983062136,53.331895170371055,0.0014156638908762176,0.003165534099935837,-0.8660254037844386,1
2024-01-02 21:00:00,7.1489,7.1504,7.14865,7.14982,0,0.0001412722759704471,55.0208550805038,0.0014102604363941396,0.0030644245213690175,-0.7071067811865477,0
2024-01-02 21:15:00,7.14982,7.151,7.14968,7.14981,0,-1.3986375870666409e-06,54.99963132352012,0.0013891578958578066,0.0029398227698426422,-0.7071067811865477,1
2024-01-02 21:30:00,7.14981,7.15107,7.1498,7.15041,0,8.391479296846415e-05,56.093978073498455,0.0014046569550290045,0.0028205497148538735,-0.7071067811865477,1
